Bundesland	Einwohner
Nordrhein-Westfalen	17865516
Bayern	12843514
Baden-Württemberg	10879618
Niedersachsen	7926599
Hessen	6176172
Sachsen	4084851
Rheinland-Pfalz	4052803
Berlin	3520031
Schleswig-Holstein	2858714
Brandenburg	2484826
Sachsen-Anhalt	2245470
Thüringen	2170714
Hamburg	1787408
Mecklenburg-Vorpommern	1612362
Saarland	995597
Bremen	671489
Deutschland 83019213
